		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 122070.296875	M = 62500000	N = 8	m = 9	n = 500000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010110011 122938 121915 122559 122740 122868 122279 122736 122378 22.726247 0.003734 FAILURE  64
010110111 121796 122192 121188 122148 121240 122005 122043 121287 18.492997 0.017819 SUCCESS  65
010111011 121448 121638 121416 121407 121716 121535 121011 121975 25.296835 0.001384 FAILURE  66
010111111 123342 122894 122781 122511 122024 122178 122656 122131 28.432384 0.000399 FAILURE  67
011000111 122166 121960 122717 122455 122983 121902 121912 122233 12.713630 0.122090 SUCCESS  68
011001111 122902 122283 123098 122439 122527 122129 122766 122699 25.592734 0.001233 FAILURE  69
011010111 121796 122038 122142 122069 122014 121985 122078 122253  1.061791 0.997827 SUCCESS  70
011011111 121937 122359 121702 122187 121670 122057 121690 121589  6.669084 0.572720 SUCCESS  71
011101111 121490 120961 121474 121208 121232 121468 120922 121402 46.578970 0.000000 FAILURE  72
011111111 123233 123569 122945 123672 123021 122712 122952 122938 82.822477 0.000000 FAILURE  73
100000000 123428 122721 123479 123538 123201 122905 123292 123195 94.376956 0.000000 FAILURE  74
100010000 121289 120603 121243 120538 121660 121402 120698 120560 89.604724 0.000000 FAILURE  75
100100000 121906 121945 122250 122547 122113 121604 121963 121853  4.916391 0.766474 SUCCESS  76
100101000 121151 121791 122148 121350 122361 122456 122569 122428 17.437377 0.025864 SUCCESS  77
100110000 122473 122856 122400 121964 121972 122707 122539 121917 13.199247 0.105176 SUCCESS  78
100111000 122739 122487 121145 122629 122221 122826 121789 122588 23.132832 0.003198 FAILURE  79
101000000 122692 122052 122560 122384 122301 122274 122412 122631 10.599610 0.225434 SUCCESS  80
101000100 121486 121326 121001 120562 121107 121626 120860 121144 65.769406 0.000000 FAILURE  81
101001000 121235 121597 121380 121873 121952 121478 121986 121340 19.848089 0.010926 SUCCESS  82
101001100 122140 122455 122482 122220 122317 122726 122521 122091  8.804958 0.359016 SUCCESS  83
101010000 122667 122114 121976 122637 121954 122117 121625 122181  7.746833 0.458583 SUCCESS  84
101010100 122905 123138 123074 122908 122999 123273 123329 123402 78.061817 0.000000 FAILURE  85
101011000 121969 122156 122146 122171 122411 121797 122429 122458  4.264036 0.832550 SUCCESS  86
101011100 122306 122440 121554 122537 122307 121878 122457 121934  7.945734 0.438789 SUCCESS  87
101100000 122295 122239 122223 122401 122652 121606 122048 122356  7.182924 0.517031 SUCCESS  88
101100100 122291 122447 122804 121904 122148 122259 121620 122152  8.538411 0.382716 SUCCESS  89
101101000 121805 121614 121382 122137 121449 121788 122276 121595 12.631324 0.125180 SUCCESS  90
101101100 122498 122636 122619 122474 122439 122124 122124 122765 13.483830 0.096251 SUCCESS  91
101110000 121972 122748 121606 121866 121377 121703 121827 121633 13.491611 0.096017 SUCCESS  92
101110100 120865 121029 120948 121111 120966 121323 121125 121281 67.882823 0.000000 FAILURE  93
101111000 121719 121829 121600 121657 121365 122412 121803 122058 10.671586 0.221011 SUCCESS  94
101111100 121840 122174 121590 122345 121763 121768 121883 121385  8.985678 0.343506 SUCCESS  95
110000000 123021 122891 123102 122937 122762 123178 122288 123044 51.635929 0.000000 FAILURE  96
110000010 121555 122082 121660 121987 120930 121759 121810 121728 17.142028 0.028664 SUCCESS  97
110000100 121739 122296 122285 121426 121625 121786 121777 121766  9.148235 0.329946 SUCCESS  98
110001000 121330 121271 121270 121264 121830 121762 121367 121535 28.906495 0.000329 FAILURE  99
110001010 121849 121995 122037 121695 122048 122032 122471 122060  3.043888 0.931573 SUCCESS 100
110010000 121665 121812 122354 122001 122418 121390 121852 121951  8.150159 0.418941 SUCCESS 101
110010010 122221 121939 122498 122173 122178 122681 122526 122556  8.994955 0.342722 SUCCESS 102
110010100 121619 122034 122139 121846 122189 122299 122502 122302  4.799851 0.778738 SUCCESS 103
110011000 122219 122575 122784 122235 122359 122361 122520 122567 12.118080 0.146013 SUCCESS 104
110011010 122902 122919 122307 122658 122730 122161 122872 122736 28.324467 0.000416 FAILURE 105
110100000 122055 121516 122187 122337 121921 121685 122471 121732  7.100492 0.525830 SUCCESS 106
110100010 121491 121300 120488 120835 120841 121433 121014 120989 77.622993 0.000000 FAILURE 107
110100100 122029 121694 121842 122269 122157 121308 122335 121352 11.943507 0.153742 SUCCESS 108
110101000 122078 121836 121743 121877 121863 121601 121692 121959  5.237782 0.731886 SUCCESS 109
110101010 122870 123384 123034 122913 123177 123134 123229 123252 77.103040 0.000000 FAILURE 110
110101100 122189 121963 121899 122492 122260 121835 122280 122656  6.025856 0.644335 SUCCESS 111
110110000 122677 121684 121778 122027 121932 121780 121602 122130  7.887755 0.444511 SUCCESS 112
110110010 121969 122617 122376 122159 122418 122190 122102 122150  4.686198 0.790528 SUCCESS 113
110110100 122020 121523 122571 122249 121410 121914 122352 121274 14.900948 0.061100 SUCCESS 114
110111000 121798 121916 121452 121579 121047 121430 121331 121338 27.636243 0.000549 FAILURE 115
110111010 121181 121088 121601 121620 121144 121257 121232 121473 40.314005 0.000003 FAILURE 116
110111100 121748 121652 121015 121872 121192 122257 121643 121906 20.739861 0.007872 FAILURE 117
111000000 122599 122615 122312 123135 122437 122650 121993 122631 21.684393 0.005535 FAILURE 118
111000010 122077 122585 122180 121329 121534 122352 121229 121698 17.284570 0.027279 SUCCESS 119
111000100 121741 121336 120844 122185 121423 122450 121849 121613 25.300123 0.001383 FAILURE 120
111000110 122390 121745 122362 122167 122151 122544 122454 122907 11.698958 0.165149 SUCCESS 121
111001000 121007 121164 121828 121855 121997 121497 121839 121549 23.016351 0.003343 FAILURE 122
111001010 122474 122073 121995 122122 122254 122488 122354 122080  3.898845 0.866133 SUCCESS 123
111001100 122757 122982 123080 122129 122953 122686 122559 123104 40.598645 0.000002 FAILURE 124
111010000 121026 121547 121723 121751 121088 121491 121784 121662 26.573462 0.000837 FAILURE 125
